Carimbo de data/hora,Seguir rigorosamente a dose padrão recomendada na bula (ex: Adultos: 50mg a cada 8h) é a melhor forma de garantir que nenhum paciente sofra intoxicação medicamentosa.  ,"A investigação de riscos genéticos e reações a drogas é uma responsabilidade da equipe médica e farmacêutica, cabendo à enfermagem apenas administrar a medicação prescrita. ",Apenas o teste de DNA laboratorial serve para identificar riscos farmacogenéticos. Perguntas sobre o histórico familiar do paciente ajudam pouco nesse sentido.  ,"Quando um paciente tem uma reação muito forte a um medicamento logo na primeira dose, quase sempre é porque ele tem alergia àquela substância.  ","Reações adversas graves a medicamentos (como uma intoxicação severa) são quase sempre eventos imprevisíveis e inevitáveis, uma questão de ""azar"" do paciente.  ",A farmacogenética estuda principalmente:
07/05/2026 16:14:46,5,1,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:14:48,5,2,5,4,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:15:21,4,1,3,1,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:15:29,5,4,5,2,5,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:15:42,5,2,1,2,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:15:48,5,2,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:15:48,4,1,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:16:13,4,1,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:16:32,5,4,5,5,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:16:39,5,2,1,5,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:16:40,5,1,1,5,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:16:41,4,1,1,2,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:17:05,5,1,1,3,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:17:20,3,1,1,3,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:17:28,5,1,2,4,4,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:17:44,4,1,1,3,3,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:17:53,4,2,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:18:21,4,1,1,4,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:18:42,4,1,1,5,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:18:44,4,1,1,4,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:18:56,1,1,1,2,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:19:16,5,4,1,1,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:19:52,3,4,1,4,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:19:56,5,2,1,2,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:20:14,5,1,1,5,4,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:21:21,5,1,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:21:24,4,2,3,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:22:42,4,1,1,3,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:22:45,5,1,1,3,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:22:58,5,5,2,1,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:24:41,5,2,4,4,2,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:25:43,5,3,1,1,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:27:19,5,1,1,5,1,Como as variações genéticas influenciam a resposta aos medicamentos
07/05/2026 16:38:11,2,2,2,4,1,Como as variações genéticas influenciam a resposta aos medicamentos