"Carimbo de data/hora","Seguir rigorosamente a dose padrão recomendada na bula (ex: Adultos: 50mg a cada 8h) é a melhor forma de garantir que nenhum paciente sofra intoxicação medicamentosa.  ","A investigação de riscos genéticos e a definição da terapia personalizada são responsabilidades exclusivas da equipe médica, cabendo ao biomédico apenas a execução técnica do exame e a entrega do laudo.","Apenas o teste de DNA laboratorial serve para identificar riscos farmacogenéticos. Perguntas sobre o histórico familiar do paciente ajudam pouco nesse sentido.  ","Quando um paciente tem uma reação muito forte a um medicamento logo na primeira dose, quase sempre é porque ele tem alergia àquela substância.  ","Reações adversas graves a medicamentos (como uma intoxicação severa) são quase sempre eventos imprevisíveis e inevitáveis, uma questão de ""azar"" do paciente.  ","A farmacogenética estuda principalmente:"
"2026/06/09 6:24:13 PM GMT-3","5","4","3","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:25:49 PM GMT-3","5","1","1","1","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:26:22 PM GMT-3","4","3","1","1","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:31:40 PM GMT-3","4","2","1","3","3","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:33:09 PM GMT-3","2","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:33:10 PM GMT-3","5","4","2","2","4","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:33:53 PM GMT-3","4","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:36:52 PM GMT-3","3","1","2","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:37:29 PM GMT-3","4","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:43:31 PM GMT-3","3","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 6:43:31 PM GMT-3","3","1","1","4","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:06:33 PM GMT-3","3","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:07:19 PM GMT-3","2","1","1","5","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:08:45 PM GMT-3","5","1","1","3","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:09:56 PM GMT-3","4","1","5","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:10:04 PM GMT-3","3","3","2","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:25:22 PM GMT-3","5","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/09 7:56:44 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos"